"","kon_moment1","kon_moment2","kon_moment3","kon_fano","koff_moment1","koff_moment2","koff_moment3","koff_fano","kb_moment1","kb_moment2","kb_moment3","kb_fano","theta_moment1","theta_moment2","theta_moment3","theta_fano"
"gene9045",1.99759099039909,38.0337575478507,756.119515017417,1.25689645358307,0.856416972894181,20.2758782563706,465.380700234164,1.74075113434924,0.115183484972192,3.02224087533887,75.3673805320432,0.323507816091251,8.55572052760323,116.858419758614,1995.11680648357,8.5557205409259
"gene9046",2.63093183683338,53.9815366096263,1110.17546259973,0.0169364255953042,2.30102130238663,58.5653121731866,1374.47597580831,2.29619468328224,0.194438340983538,5.87229223469876,155.447480665316,0.382013354283117,10.750942971427,168.113826788385,3082.41170841939,10.7509429980723
"gene9047",0.901275658549139,11.1611910824649,142.125056754594,0.66369949536238,0.680465876978786,10.2860309780795,148.370667147901,1.5227793515038,0.123787204930892,2.13969833851024,34.0115593644441,0.424563832979175,6.06348945941804,55.9284551115979,623.920578846082,6.06348944387491
"gene9048",0.476334924837118,4.67403703297009,49.0654041840344,1.08456521985545,0.133682834801974,1.57146051726897,18.5392823937036,0.591517652637208,0.0471947414482088,0.586437245431171,7.2123640393329,0.24382758923025,4.03556620454104,27.6385382402822,243.085747229088,4.03556621009216
"gene9049",4.19565019171841,122.334730576767,3443.58642905718,1.52855868407187,6.31298792796997,228.224105853769,7298.98868485179,2.21448139825497,0.261906443199678,12.2759323062382,462.075058749178,0.378936562128729,17.3758320975992,398.606544820268,10195.107834079,17.3758320975992
"gene9050",0.299462852293431,3.39522220116351,36.8686731633261,0.411054825733004,0.381332740939655,4.93746490803915,58.6330999396978,0.92046187560868,0.144381697708695,2.05539652853304,26.1809962864845,0.468746828019562,5.78475126689071,44.3591901877483,399.650657243455,5.78475125578848
"gene9051",1.2096619528279,15.4191002721404,201.380221369618,0.0342832251476466,1.66805171453177,26.1910457410863,387.390584251079,2.08449435490365,0.19077833979253,3.71052518488568,63.5924880043603,0.533926547419128,7.15430095610259,73.3928344587298,875.466296292871,7.15430097386616
"gene9052",0.377422710862163,4.15904624517793,45.8097410671598,0.700270499365274,0.232428019053543,2.9632088249798,36.1057117004293,0.747146247093156,0.0940313826802708,1.28912159169658,16.6360571540736,0.373252726504347,5.111066481156,37.7524999528589,341.294194470265,5.11106647671511
"gene9053",1.13731487338953,14.0758337252578,190.270201301246,1.34953295649609,0.351419606747783,5.468040100709,84.8523359309183,1.20445379891976,0.0599853922089721,1.02042021055126,16.8707489933695,0.26687065890485,5.09207075616303,47.2029477904812,559.350031039685,5.09207075616303
"gene9054",2.42414062157081,60.2198645083263,1428.8293368736,0.176471548485324,3.21482422016572,96.7281957287014,2596.47906659666,2.1460888888214,0.277953189353752,9.87408355968,299.581029139517,0.398774204768415,13.9888262395971,255.593348867933,5315.69593476888,13.9888262751242
"gene9055",0.504175625692938,11.9760500183475,245.460894348071,0.189024955687955,1.37586132709089,36.2610819593101,802.889651367877,1.07288396833383,0.351237332552046,10.1278759245815,240.873532675323,0.409439877557816,13.0758381189366,195.082822216364,3195.45617003314,13.0758381367002
"gene9056",0.827560037164332,6.47924422558788,60.1217481843719,1.11179008221995,0.244236203483794,2.51245576787795,27.2050372984722,1.52759945137859,0.0386476317615347,0.46231141581643,5.54637164640326,0.371102624185937,2.7203814001453,18.1085208872389,156.20407282313,2.72038140458619
